subid,blockid,difference.in.rt.aa,mean.difference.in.rt,mean.absolute.difference.in.rt,rt_ratio,mean.difference.in.moral.score,mean.absolute.difference.in.moral.score,bias_ratio
3,17,-0.3547810000000027,0.5194002333333477,0.6279771666666724,0.6666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
6,17,0.6218961000013222,0.032930166667938486,0.032930166667938486,1,-0.21633825944170773,0.2623152709359606,0.6666666666666666
22,17,-0.20314009999856347,0.2725461666668707,0.3071608999998716,0.6666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
25,17,0.0536048000003575,0.6480814000004406,0.6966075333334629,0.6666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
18,17,-0.6504837999999609,1.2456441000000116,1.5656441000000239,0.6666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
24,17,-0.12716129999989786,0.11634386666673895,0.3183823333333749,0.16666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
10,17,0.01007190000382252,0.9908444666652941,1.042140933335759,0.6666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
17,17,0.04947350000020373,0.047143066666876565,0.11553759999992509,0.16666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
14,17,-1.1125632000002956,-2.925704866666821,2.925704866666821,0.0,-0.21633825944170773,0.2623152709359606,0.6666666666666666
23,17,0.18079750000003975,0.25518819999994474,0.25518819999994474,1,-0.21633825944170773,0.2623152709359606,0.6666666666666666
9,17,-3.627467499999966,-2.873459500000005,2.873459500000005,0.0,-0.21633825944170773,0.2623152709359606,0.6666666666666666
8,17,-0.14719940000009046,0.32805519999972904,0.44448386666673895,0.16666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
26,17,-0.041705900001034024,0.02022509999915199,0.08613023333297555,0.6666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
20,17,-0.18288330000041236,-0.01526076666702155,0.07049489999993364,0.6666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
19,17,0.1363233000001856,-0.0014395666664010487,0.03667176666628319,0.16666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
5,17,-0.0460229999998773,-0.10418046666670004,0.10418046666670004,0.0,-0.21633825944170773,0.2623152709359606,0.6666666666666666
2,17,-0.10599580000052808,-0.12484976666564762,0.12484976666564762,0.0,-0.21633825944170773,0.2623152709359606,0.6666666666666666
27,17,0.3275244999999813,1.1254250000001018,1.1254250000001018,1,-0.21633825944170773,0.2623152709359606,0.6666666666666666
7,17,-0.02636450000136381,0.016186833332540247,0.019419166666314918,0.6666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
12,17,0.14488589999996293,0.4903020666666483,0.4903020666666483,1,-0.21633825944170773,0.2623152709359606,0.6666666666666666
16,17,0.6741243000014947,-0.04039499999938314,0.04039499999938314,0.0,-0.21633825944170773,0.2623152709359606,0.6666666666666666
13,17,0.008203700000194547,-0.01562559999941493,0.04393833333324437,0.16666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
28,17,0.11517910000020493,0.2402738999999201,0.2402738999999201,1,-0.21633825944170773,0.2623152709359606,0.6666666666666666
21,17,-0.039791600000171456,0.5818646333330738,0.5818646333330738,1,-0.21633825944170773,0.2623152709359606,0.6666666666666666
15,17,-0.05650789999981495,-0.13191259999954733,0.1319972666663792,0.16666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
4,18,-0.06313709999994899,-0.021895474999951134,0.026424224999971088,0.08333333333333333,0.017241379310344827,0.034482758620689655,0.75
29,18,-0.01238999999986845,0.7658510750000006,0.8496621750000487,0.08333333333333333,0.017241379310344827,0.034482758620689655,0.75
1,18,-0.017575400000168884,-0.04499607500042657,0.08327232500073478,0.25,0.017241379310344827,0.034482758620689655,0.75
11,18,-0.017971099999954276,-0.12017709999986437,0.12017709999986437,0.0,0.017241379310344827,0.034482758620689655,0.75
3,18,0.0838033999999652,0.7209730749999608,0.815255024999999,0.75,0.017241379310344827,0.034482758620689655,0.75
6,18,0.9842181000021812,0.62352675000011,0.62352675000011,1,0.017241379310344827,0.034482758620689655,0.75
22,18,0.012873099999524129,0.16509847499992247,0.16509847499992247,1,0.017241379310344827,0.034482758620689655,0.75
